191;CD-191;Fixed Asset;SCANNER CANON DR-G 1100  -SCANNERS;UnitCost(US$);6220
192;CD-192;Fixed Asset;Scanner fujitsu FI-6770                  -SCANNERS;UnitCost(US$);6795
193;CD-193;Fixed Asset;Photocopier canon, IR2545i-PHOTOCOPIERS;UnitCost(US$);7322
194;CD-194;Fixed Asset;Photocopier Kyocera-4501i-PHOTOCOPIERS;UnitCost(US$);5760
195;CD-195;Fixed Asset;Sony VPL-DX10Z-PROJECTOR;UnitCost(US$);755
196;CD-196;Fixed Asset;Projector Panasonic PT-LX26EA-PROJECTOR;UnitCost(US$);1138
197;CD-197;Fixed Asset;Sofa two Setter leather-FURNITURE;UnitCost(US$);631
198;CD-198;Fixed Asset;FILING CABINET                             -FURNITURE;UnitCost(US$);259
199;CD-199;Fixed Asset;TABLE EXECUTIVE                            -FURNITURE;UnitCost(US$);1641
200;CD-200;Fixed Asset;Book shelf 4 doors-FURNITURE;UnitCost(US$);400
201;CD-201;Fixed Asset;Swivel Sitting Stools-FURNITURE;UnitCost(US$);117
202;CD-202;Fixed Asset;Coffee table-FURNITURE;UnitCost(US$);93
203;CD-203;Fixed Asset;Chair, conference-FURNITURE;UnitCost(US$);123
204;CD-204;Fixed Asset;Small Cupboard -FURNITURE;UnitCost(US$);136
205;CD-205;Fixed Asset;Center Table-FURNITURE;UnitCost(US$);47
206;CD-206;Fixed Asset;Conference Table ,-FURNITURE;UnitCost(US$);1778
207;CD-207;Fixed Asset;Chair, conference, leather-FURNITURE;UnitCost(US$);434
208;CD-208;Fixed Asset;Executive Chair, LEATHER-FURNITURE;UnitCost(US$);826
209;CD-209;Fixed Asset;TV Flat screen 42’’-TVs;UnitCost(US$);658
210;CD-210;Other Costs - Not Listed;Costs per Unit -Other Costs - Not Listed;UnitCost(US$);1
